actor_1_name,actor_2_name,actor_3_name,director_name,genres,gross,budget,imdb_score 
Todd Stashwick,Billy Gardell,Amanda Detmer,Anthony Russo,Comedy|Romance,75604320,54000000,5.6
Todd Giebenhain,Lenny Venito,David Backus,Martin Brest,Comedy|Crime|Romance,5660084,54000000,2.4
Kate Winslet,Anthony Hopkins,Kevin Dunn,Steven Zaillian,Drama|Thriller,7221458,55000000,6.2
Christian Bale,Vanessa Williams,Daniel von Bargen,John Singleton,Action|Crime|Thriller,70327868,46000000,5.9
Jim Broadbent,Kylie Minogue,Richard Roxburgh,Baz Luhrmann,Drama|Musical|Romance,57386369,52500000,7.6
Steve Buscemi,Teri Polo,Matt O'Leary,Harold Becker,Crime|Mystery|Thriller,45207112,53000000,5.5
Johnny Depp,Benedict Cumberbatch,Adam Scott,Scott Cooper,Biography|Crime|Drama,62563543,53000000,7.0
Paul Walker,Chris Bauer,Tom McCarthy,Clint Eastwood,Drama|History|War,33574332,90000000,7.1
Gerard Butler,Leslie Bibb,Michael Kelly,F. Gary Gray,Crime|Drama|Thriller,73343413,50000000,7.4
Quentin Tarantino,Rosario Dawson,Zoë Bell,Robert Rodriguez,Action|Horror|Thriller,25031037,53000000,7.6
Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,Curtis Hanson,Drama|Romance|Sport,5755286,55000000,5.9
Leonardo DiCaprio,Tom Hanks,Jennifer Garner,Steven Spielberg,Biography|Crime|Drama,164435221,52000000,8.0
Jennifer Ehle,Harold Perrineau,Parker Sawyers,Kathryn Bigelow,Drama|History|Thriller,95720716,40000000,7.4
Jon Favreau,John Michael Higgins,Ann-Margret,Peyton Reed,Comedy|Drama|Romance,118683135,52000000,5.8
Colin Firth,Meryl Streep,Julie Walters,Phyllida Lloyd,Comedy|Family|Musical|Romance,143704210,52000000,6.3
Bradley Cooper,Taylor Lautner,Anne Hathaway,Garry Marshall,Comedy|Romance,110476776,52000000,5.7
Alice Greczyn,Jessica Simpson,Michael Weston,Jay Chandrasekhar,Action|Adventure|Comedy,80270227,50000000,5.1
Ryan Reynolds,Olivia Wilde,Mircea Monroe,David Dobkin,Comedy|Fantasy,37035845,52000000,6.4
Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,Pierre Morel,Action|Thriller,23324666,52000000,6.5
Jaime King,Mako,Victoria Smurfit,Paul Hunter,Action|Comedy|Fantasy,23020488,52000000,5.5
Robert Forster,Tony Cox,Rob Moran,Bobby Farrelly,Comedy,90567722,51000000,6.5
Rob Paulsen,Wanda Sykes,Maurice LaMarche,Steve Oedekerk,Animation|Comedy|Family,72601713,51000000,5.6
Matthew Broderick,Jorge Garcia,Alia Shawkat,John Whitesell,Comedy|Family,35092918,,4.9
Robert Pattinson,Kristen Stewart,Taylor Lautner,Chris Weitz,Adventure|Drama|Fantasy|Romance,296623634,50000000,4.6
Kathleen Freeman,Chris Miller,Bobby Block,Andrew Adamson,Adventure|Animation|Comedy|Family|Fantasy,267652016,60000000,7.9
Matt Damon,Michael Kelly,Jon Stewart,George Nolfi,Romance|Sci-Fi|Thriller,62453315,50200000,7.1
Mila Kunis,Seth MacFarlane,Tom Skerritt,Seth MacFarlane,Comedy|Fantasy,218628680,50000000,7.0
Harrison Ford,Will Ferrell,Steve Carell,Adam McKay,Comedy,2175312,50000000,6.3
Steve Buscemi,Adam Sandler,Peter Gallagher,Steven Brill,Comedy|Romance,126203320,50000000,5.8
Joel Courtney,AJ Michalka,Zach Mills,J.J. Abrams,Mystery|Sci-Fi|Thriller,126975169,50000000,7.1
Julia Roberts,Albert Finney,Conchata Ferrell,Steven Soderbergh,Biography|Drama,125548685,52000000,7.3
Matthew McConaughey,Adam Goldberg,Thomas Lennon,Donald Petrie,Comedy|Romance,105807520,50000000,6.4
Channing Tatum,Craig Roberts,Amber Stevens West,Phil Lord,Action|Comedy|Crime,191616238,50000000,7.1
Bradley Cooper,Zooey Deschanel,Danny Masterson,Peyton Reed,Comedy|Romance,97680195,70000000,6.8
Dwayne Johnson,Thomas Kretschmann,Megan Park,Rawson Marshall Thurber,Action|Comedy|Crime,126088877,50000000,6.6
Will Ferrell,Linda Cardellini,Mark L. Young,Sean Anders,Comedy|Family,150315155,50000000,6.1
Johnny Depp,Meryl Streep,Anna Kendrick,Rob Marshall,Adventure|Comedy|Drama|Fantasy|Musical,127997349,50000000,6.0
Denzel Washington,James Ransone,Peter Gerety,Spike Lee,Crime|Drama|Mystery|Thriller,88504640,45000000,7.6
Scarlett Johansson,Matt Damon,Stephanie Szostak,Cameron Crowe,Comedy|Drama|Family,75621915,,7.1
Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,Alex Proyas,Drama|Mystery|Sci-Fi|Thriller,79948113,50000000,6.2
Bradley Cooper,Matthew McConaughey,Zooey Deschanel,Tom Dey,Comedy|Romance,88658172,50000000,5.6
Naomi Watts,Gary Cole,Sissy Spacek,Hideo Nakata,Horror|Mystery,75888270,,5.4
Ryan Gosling,Emma Stone,Steve Carell,Glenn Ficarra,Comedy|Drama|Romance,84244877,50000000,7.4
Bill Murray,Mark Christopher Lawrence,Michael Monks,Peter Hewitt,Animation|Comedy|Family|Fantasy,75367693,35000000,5.0
Jamie Lee Curtis,Cheech Marin,Jake Busey,Joe Roth,Comedy|Family,73701902,60000000,5.2
Philip Seymour Hoffman,Robin Wright,Brad Pitt,Bennett Miller,Biography|Drama|Sport,75605492,50000000,7.6
Liam Neeson,Nate Parker,Scoot McNairy,Jaume Collet-Serra,Action|Mystery|Thriller,91439400,50000000,7.0
Dwayne Johnson,Billy Brown,Tom Everett Scott,Andy Fickman,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,67128202,65000000,5.7
Natalie Portman,Eddie Marsan,Rupert Graves,James McTeigue,Action|Drama|Thriller,70496802,54000000,8.2
Fann Wong,Anna-Louise Plowman,Georgina Chapman,David Dobkin,Action|Adventure|Comedy,60470220,50000000,6.2
Will Ferrell,Frank Welker,Alexander Gould,Matthew O'Callaghan,Adventure|Animation|Comedy|Family,58336565,50000000,6.6
Scoot McNairy,Thomas Lennon,Cheryl Hines,Angela Robinson,Adventure|Comedy|Family|Fantasy|Romance|Sport,66002004,50000000,4.7
Oliver Platt,Jennifer Esposito,Conrad Goode,Gary Fleder,Crime|Drama|Mystery|Thriller,54997476,50000000,6.3
Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,Tommy Wirkola,Action|Fantasy|Horror,55682070,50000000,6.1
Olivier Martinez,Erik Per Sullivan,Chad Lowe,Adrian Lyne,Drama|Thriller,52752475,50000000,6.7
Alex Pettyfer,Emily Wickersham,Reuben Langdon,D.J. Caruso,Action|Adventure|Sci-Fi|Thriller,55092830,60000000,6.1
Matt Damon,Amr Waked,Kayvan Novak,Stephen Gaghan,Drama|Thriller,50815288,50000000,7.0
Toby Stephens,James Badge Dale,David Costabile,Michael Bay,Action|Drama|Thriller|War,52822418,50000000,7.4
Channing Tatum,Hector Elizondo,Ana de la Reguera,Jorge R. Gutiérrez,Adventure|Animation|Comedy|Family|Fantasy|Romance,50150619,50000000,7.3
Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,Richard Loncraine,Crime|Thriller,48745150,50000000,5.8
Radha Mitchell,Deborah Kara Unger,Alice Krige,Christophe Gans,Adventure|Horror|Mystery,46982632,50000000,6.6
Keanu Reeves,Jon Favreau,Faizon Love,Howard Deutch,Comedy|Sport,44737059,50000000,6.5
Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Jon Hurwitz,Comedy,56724080,50000000,6.7
Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Steven Quale,Action|Thriller,47553512,50000000,5.8
Robert Downey Jr.,Robert Duvall,Leighton Meester,David Dobkin,Crime|Drama,47105085,50000000,7.4
Milla Jovovich,Thomas Kretschmann,Mike Epps,Alexander Witt,Action|Horror|Sci-Fi|Thriller,50740078,45000000,6.2
Colin Firth,Jim Broadbent,Celia Imrie,Beeban Kidron,Comedy|Drama|Romance,40203020,40000000,5.9
Denzel Washington,Sanaa Lathan,John Billingsley,Carl Franklin,Crime|Drama|Romance|Thriller,40905277,50000000,6.5
Taylor Lautner,Kristin Davis,Taylor Dooley,Robert Rodriguez,Action|Adventure|Family|Fantasy,39177541,50000000,3.5
Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,Danny Boyle,Adventure|Drama|Thriller,39778599,50000000,6.6
Amber Valletta,Felicity Huffman,Spencer Breslin,Garry Marshall,Comedy|Drama|Romance,37486138,50000000,6.0
Shô Kosugi,Ben Miles,Rain,James McTeigue,Action|Crime|Thriller,38105077,40000000,6.4
Emma Stone,Judy Greer,Steve Coogan,Tom Dey,Comedy|Family,33643461,50000000,4.2
Matt Damon,Jay Mohr,Cécile De France,Clint Eastwood,Drama|Fantasy,32741596,50000000,6.5
Ryan Gosling,Chris Penn,Agnes Bruckner,Barbet Schroeder,Crime|Mystery|Thriller,31874869,50000000,6.1
Li Gong,Stephen Walters,Richard Brake,Peter Webber,Crime|Drama|Thriller,27667947,50000000,6.2
J.D. Evermore,Chandler Canterbury,Rachel Roberts,Andrew Niccol,Action|Adventure|Romance|Sci-Fi|Thriller,26616999,40000000,5.9
Connie Nielsen,Harry Connick Jr.,Tim Daly,John McTiernan,Action|Crime|Drama|Mystery|Thriller,26536120,50000000,6.5
Clint Eastwood,Anjelica Huston,Rick Hoffman,Clint Eastwood,Action|Crime|Drama|Mystery|Thriller,26199517,50000000,6.4
Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,Tom Tykwer,Action|Crime|Drama|Mystery|Thriller,25450527,50000000,6.5
Bill Murray,Anjelica Huston,Matthew Gray Gubler,Wes Anderson,Adventure|Comedy|Drama,24006726,50000000,7.3
Matthew McConaughey,Donald Watkins,Jessica Collins,Gary Ross,Action|Biography|Drama|History|War,20389967,50000000,6.7
Kevin Spacey,Kate Winslet,Matt Craven,Alan Parker,Crime|Drama|Thriller,19593740,50000000,7.5
Christina Milian,Vanessa Ferlito,Kelli Garner,Stephen Herek,Action|Comedy,19118247,40000000,5.4
Liam Neeson,Common,Bruce McGill,Jaume Collet-Serra,Action|Crime|Drama|Thriller,26442251,50000000,6.6
Viggo Mortensen,Naomi Watts,Raza Jaffrey,David Cronenberg,Crime|Mystery|Thriller,17114882,25000000,7.7
Paul Walker,James Frain,Ashley Scott,John Stockwell,Action|Adventure|Crime|Thriller,18472363,50000000,5.8
Natalie Portman,Zooey Deschanel,James Franco,David Gordon Green,Adventure|Comedy|Fantasy,21557240,49900000,5.6
Naomi Watts,Gregory Smith,Sarah Gadon,Jim Sheridan,Drama|Mystery|Thriller,21283440,55000000,6.0
Naomi Watts,Ty Burrell,Brooke Smith,Doug Liman,Biography|Drama|Thriller,9528092,22000000,6.8
Ian Ziering,Mo'Nique,Edgar Ramírez,Tony Scott,Action|Biography|Crime|Drama|Thriller,10137232,50000000,6.0
Gerard Butler,Logan Lerman,Alison Lohman,Mark Neveldine,Action|Sci-Fi|Thriller,20488579,50000000,5.8
Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Richard LaGravenese,Drama|Fantasy|Romance,19445217,60000000,6.2
Robin Williams,Vincent Schiavelli,Danny Woodburn,Danny DeVito,Comedy|Crime|Drama|Thriller,8355815,55000000,6.4
Milla Jovovich,Will Ferrell,Justin Theroux,Ben Stiller,Comedy,28837115,50000000,4.8
Morgan Freeman,Andrew Wilson,Willie Nelson,George Armitage,Comedy|Crime,6471394,50000000,4.9
Judy Greer,Linda Fiorentino,Garry Shandling,Mike Nichols,Comedy|Sci-Fi,6291602,50000000,5.6
Nicolas Cage,Billy Burke,Katy Mixon,Patrick Lussier,Action|Fantasy|Thriller,10706786,50000000,5.5
Chris Klein,Robin Shou,Josie Ho,Andrzej Bartkowiak,Action|Crime|Drama|Mystery|Thriller,8742261,18000000,3.7
Jason Statham,Jet Li,Delroy Lindo,James Wong,Action|Sci-Fi|Thriller,43905746,49000000,5.9
Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Richard Curtis,Comedy|Drama|Music,7994115,,7.4
Michael O'Neill,Jacob Vargas,James Lew,Steven Soderbergh,Crime|Drama|Thriller,124107476,48000000,7.6
Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Joe Wright,Drama|Romance,12802907,,6.6
Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Neill Blomkamp,Action|Crime|Drama|Sci-Fi|Thriller,31569268,49000000,6.9
Kristen Stewart,Dwight Yoakam,Mel Rodriguez,David Fincher,Crime|Drama|Thriller,95308367,48000000,6.8
P.J. Soles,Lochlyn Munro,Steve Bacic,Chuck Bowman,Horror|Thriller,,1500000,4.6
Tom Hardy,Fares Fares,Michael Nardone,Daniel Espinosa,Crime|Drama|Thriller,1206135,50000000,6.4
Corinna Harney,Douglas Haase,Vince Vieluf,Jerry Zucker,Adventure|Comedy,56607223,48000000,6.4
Kevin Spacey,Jeff Bridges,Alfre Woodard,Iain Softley,Drama|Mystery|Sci-Fi,50173190,48000000,7.4
Hugh Jackman,Natasha Lyonne,Bradley Whitford,James Mangold,Comedy|Fantasy|Romance,47095453,48000000,6.4
Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Harold Ramis,Comedy|Fantasy|Romance,37879996,48000000,6.0
Christian Bale,Logan Lerman,Gretchen Mol,James Mangold,Adventure|Crime|Drama|Western,53574088,55000000,7.8
Liam Neeson,Dougray Scott,Jon Gries,Olivier Megaton,Action|Thriller,89253340,48000000,6.0
Rosie Perez,Adam Garcia,Alissa Dean,Penny Marshall,Biography|Comedy|Drama,29781453,48000000,6.4
Sarah Michelle Gellar,George Carlin,Rob Paulsen,Paul Bolger,Adventure|Animation|Comedy|Family|Fantasy,15519841,47000000,4.5
Julia Roberts,Rainn Wilson,Larry King,Joe Roth,Comedy|Romance,93607673,48000000,5.7
Al Pacino,Maura Tierney,Crystal Lowe,Christopher Nolan,Drama|Mystery|Thriller,67263182,46000000,7.2
Michael Fassbender,Billy Blair,Julia Jones,Jimmy Hayward,Action|Drama|Fantasy|Thriller|Western,10539414,47000000,4.7
Joseph Gilgun,Amy Ryan,Olympia Dukakis,Brad Furman,Biography|Crime|Drama|Thriller,14946229,25000000,7.3
Liam Neeson,Luke Grimes,D.B. Sweeney,Olivier Megaton,Action|Crime|Thriller,139852971,45000000,6.3
Regina Hall,Pamela Anderson,Jenny McCarthy,David Zucker,Comedy,110000082,48000000,5.5
Candice Bergen,Wendy Raquel Robinson,Heather Burns,Donald Petrie,Action|Comedy|Crime|Romance,106807667,45000000,6.2
Josh Hutcherson,Brendan Fraser,Anita Briem,Eric Brevig,Action|Adventure|Family|Fantasy|Sci-Fi,101702060,45000000,5.8
Anne Hathaway,Raven-Symoné,Hector Elizondo,Garry Marshall,Comedy|Family|Romance,95149435,40000000,5.7
Morgan Freeman,Noel Gugliemi,Sean Hayes,Rob Reiner,Adventure|Comedy|Drama,93452056,45000000,7.4
Adam Scott,Jane Fonda,Elaine Stritch,Robert Luketic,Comedy|Romance,82931301,60000000,5.5
Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Denis Villeneuve,Crime|Drama|Mystery|Thriller,60962878,46000000,8.1
Denzel Washington,Snoop Dogg,Tom Berenger,Antoine Fuqua,Crime|Drama|Thriller,76261036,45000000,7.7
Natasha Lyonne,Veronica Cartwright,Andy Richter,Keenen Ivory Wayans,Comedy,71277420,45000000,5.2
Bill Cobbs,Eric Jacobson,Steve Whitmire,James Bobin,Adventure|Comedy|Family|Musical,88625922,45000000,7.1
Channing Tatum,Rick Gonzalez,Robert Ri'chard,Thomas Carter,Drama|Sport,67253092,30000000,7.2
Sydney Pollack,Matt Malloy,Bruce Altman,Roger Michell,Drama|Thriller,66790248,45000000,6.5
Adam Garcia,Tyra Banks,Izabella Miko,David McNally,Comedy|Drama|Music|Romance,60786269,45000000,5.6
Colin Firth,Liam Neeson,Kris Marshall,Richard Curtis,Comedy|Drama|Romance,59365105,45000000,7.7
Johnny Depp,Jason Flemyng,Ian Richardson,Albert Hughes,Horror|Mystery|Thriller,31598308,35000000,6.8
Josh Hutcherson,Will Ferrell,Robert Duvall,Jesse Dylan,Comedy|Family|Romance|Sport,52580895,45000000,5.6
Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Garth Jennings,Adventure|Comedy|Sci-Fi,51019112,50000000,6.8
Dania Ramirez,Nick Zano,Alice Greczyn,Joel Zwick,Comedy|Family|Fantasy|Romance,48114556,26000000,4.3
Milla Jovovich,Mike Epps,James Tumminia,Russell Mulcahy,Action|Horror|Sci-Fi|Thriller,50648679,45000000,6.3
Bella Thorne,Adam Sandler,Joel McHale,Frank Coraci,Comedy|Romance,46280507,40000000,6.5
LL Cool J,Alicia Witt,Timothy Hutton,Wayne Wang,Adventure|Comedy|Drama,38360195,45000000,6.4
Demián Bichir,Shea Whigham,Gary Stretch,Oliver Stone,Crime|Drama|Thriller,47307550,45000000,6.5
Richard Burgi,Valerie Cruz,Will Beinbrink,David R. Ellis,Action|Crime|Thriller,32003620,25000000,6.5
Kevin McNally,Natalie Imbruglia,Ben Miller,Peter Howitt,Action|Adventure|Comedy,27972410,35000000,6.1
Nicolas Cage,Meryl Streep,Julia Roberts,John A. Davis,Adventure|Animation|Comedy|Family|Fantasy,28133159,50000000,5.9
Jim Sturgess,T.V. Carpio,Robert Clohessy,Julie Taymor,Drama|Fantasy|Musical|Romance,24343673,45000000,7.4
Leonardo DiCaprio,Kate Winslet,Joe Komara,Sam Mendes,Drama|Romance,22877808,35000000,7.3
Bruce Willis,David Zayas,Sasha Roiz,Richard Donner,Action|Crime|Drama|Thriller,36883539,52000000,6.6
Vin Diesel,Charlotte Rampling,David Belle,Mathieu Kassovitz,Action|Adventure|Sci-Fi|Thriller,22531698,70000000,5.6
Malese Jow,Carter Jenkins,Tim Meadows,John Schultz,Adventure|Comedy|Family|Fantasy|Sci-Fi,25200412,45000000,5.4
Costas Mandylor,Adrien Dorval,Nels Lennarson,Sean Penn,Crime|Drama|Mystery|Thriller,19719930,45000000,6.8
Jon Lovitz,Will Ferrell,Matthew Broderick,Susan Stroman,Comedy|Musical,19377727,45000000,6.4
Wood Harris,Jason Cope,Rakie Ayola,Pete Travis,Action|Sci-Fi,13401683,35000000,7.1
Matt Damon,Henry Thomas,Sam Shepard,Billy Bob Thornton,Drama|Romance|Western,15527125,57000000,5.8
Jim Belushi,Olivia Williams,Timothy Hutton,Roman Polanski,Mystery|Thriller,15523168,45000000,7.2
Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Spike Lee,Action|Crime|Drama|Thriller|War,7916887,45000000,6.0
Li Gong,Ye Liu,Man Li,Yimou Zhang,Drama|Romance,6565495,45000000,7.0
Nicolas Cage,Charlie Yeung,James With,Danny Pang,Action|Crime|Thriller,15279680,40000000,5.4
Zooey Deschanel,Janeane Garofalo,Omar Epps,Barry Sonnenfeld,Comedy|Crime|Thriller,7262288,40000000,6.5
Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Mike Newell,Drama|Romance,4584886,45000000,6.4
Daniel Kaluuya,Tim McInnerny,Togo Igawa,Oliver Parker,Action|Adventure|Comedy|Crime,8129455,45000000,6.3
Jerry Stiller,Larry Miller,Harvey Fierstein,Lawrence Kasanoff,Action|Animation|Comedy|Family|Fantasy,,65000000,1.7
Clea DuVall,Scoot McNairy,Tate Donovan,Ben Affleck,Biography|Drama|History|Thriller,136019448,44500000,7.7
Gerard Butler,Dorian Missick,Peter Greene,Andy Tennant,Action|Comedy|Romance,67061228,40000000,5.5
Sophia Myles,Tony Curran,Derek Jacobi,Len Wiseman,Action|Adventure|Fantasy|Sci-Fi|Thriller,62318875,50000000,6.8
Daniel Radcliffe,Spencer Wilding,Daniel Mays,Paul McGuigan,Drama|Horror|Sci-Fi|Thriller,5773519,40000000,6.0
F. Murray Abraham,Rob Brown,Michael Nouri,Gus Van Sant,Drama,51768623,43000000,7.3
Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Betty Thomas,Comedy|Drama,37035515,43000000,6.0
Morgan Freeman,Jet Li,Bob Hoskins,Louis Leterrier,Action|Crime|Drama|Thriller,24520892,45000000,7.0
Judith Chapman,Lillian Adams,Chelsea Bond,Roger Kumble,Comedy|Romance,24430272,43000000,5.1
Augustus Prew,Charlie Tahan,Valerie Tian,Burr Steers,Drama|Fantasy|Romance,31136950,44000000,6.5
Jason Statham,Tony Goldwyn,Mini Anden,Simon West,Action|Crime|Thriller,29113588,40000000,6.6
Channing Tatum,Dax Flame,Rob Riggle,Phil Lord,Action|Comedy|Crime,138447667,42000000,7.2
Imelda Staunton,Miranda Richardson,Julia Sawalha,Peter Lord,Adventure|Animation|Comedy|Drama|Family,106793915,45000000,7.0
Philip Seymour Hoffman,Masi Oka,Debra Messing,John Hamburg,Comedy|Romance,87856565,42000000,5.9
Michael Rapaport,William Xifaras,Demián Bichir,Paul Feig,Action|Comedy|Crime,159578352,43000000,6.6
Salma Hayek,Reggie Lee,Charice,Frank Coraci,Action|Comedy|Sport,45290318,42000000,6.5
Morgan Freeman,Adam Scott,Bruce Davison,Carl Franklin,Crime|Drama|Mystery|Thriller,41543207,42000000,6.3
Debra Messing,Will Patton,David Eigenberg,Mark Pellington,Drama|Horror|Mystery|Thriller,35228696,32000000,6.5
Bono,Elton John,Slash,Larry Charles,Comedy,59992760,42000000,5.8
Gary Oldman,Billy Burke,Virginia Madsen,Catherine Hardwicke,Fantasy|Horror|Mystery|Thriller,37652565,42000000,5.4
Robert De Niro,Charlize Theron,Kelsey Grammer,John Herzfeld,Action|Crime|Drama|Thriller,24375436,42000000,6.1
Nicolas Cage,Jeremy Crutchley,Jared Burke,Andrew Niccol,Crime|Drama|Thriller,24127895,50000000,7.6
Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang,Action|Adventure|History,84961,31000000,7.9
Fisher Stevens,Debbie Reynolds,Patrick Fischler,Julie Anne Robinson,Action|Comedy|Crime|Romance|Thriller,26404753,40000000,5.3
James Franco,Randall Park,Anders Holm,Evan Goldberg,Comedy,6105175,44000000,6.6
Tony Cox,Dong-gun Jang,Jed Brophy,Sngmoo Lee,Action|Fantasy|Western,5664251,45000000,6.3
Omar Sy,Dany Boon,André Dussollier,Jean-Pierre Jeunet,Action|Comedy|Crime,1260917,27000000,7.2
Mekhi Phifer,Omar Benson Miller,Evan Jones,Curtis Hanson,Drama|Music,116724075,41000000,7.0
Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Jamel Debbouze,Adventure|Animation|Comedy|Family,,,4.9
Heath Ledger,Rufus Sewell,Bérénice Bejo,Brian Helgeland,Action|Adventure|Romance,56083966,65000000,6.9
Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Gordon Chan,Action|Comedy|Fantasy,22108977,41000000,5.2
Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Asger Leth,Action|Crime|Thriller,18600911,42000000,6.6
Joel McHale,Kevin Pollak,JoBeth Williams,David Frankel,Comedy,7204138,41000000,6.2
Jennifer Lawrence,Christian Bale,Bradley Cooper,David O. Russell,Crime|Drama,150117807,40000000,7.3
Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Anne Fletcher,Comedy|Drama|Romance,163947053,40000000,6.7
Scarlett Johansson,Morgan Freeman,Amr Waked,Luc Besson,Action|Sci-Fi|Thriller,126546825,40000000,6.4
Jennifer Ehle,Luke Grimes,Callum Rennie,Sam Taylor-Johnson,Drama|Romance,166147885,40000000,4.1
Sylvester Stallone,Salma Hayek,Alexa PenaVega,Robert Rodriguez,Action|Adventure|Comedy|Family|Sci-Fi,111760631,38000000,4.1
Tom Welling,Alyson Stoner,Bonnie Hunt,Shawn Levy,Comedy|Family,138614544,40000000,5.8
Jerry Ferrara,Scott Elrod,Dan Bilzerian,Peter Berg,Action|Biography|Drama|Thriller|War,125069696,40000000,7.6
Javier Botet,Frances O'Connor,Robin Atkin Downes,James Wan,Horror|Mystery|Thriller,102310175,40000000,7.8
Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,David Fincher,Biography|Drama,96917897,40000000,7.7
Carmen Perez,Sabrina Revelle,Sachiko Ishida,Ken Kwapis,Comedy|Drama|Romance,93952276,40000000,6.4
Beau Mirchoff,Carmen Electra,Regina Hall,David Zucker,Comedy,90703745,45000000,5.1
Kelly Rutherford,Roger Jackson,Nancy O'Dell,Wes Craven,Horror|Mystery,89138076,40000000,5.5
Will Ferrell,Alison Brie,Craig T. Nelson,Etan Cohen,Comedy|Crime,90353764,40000000,6.0
Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,Nora Ephron,Biography|Drama|Romance,94125426,40000000,7.0
Harrison Ford,Christopher Meloni,Nicole Beharie,Brian Helgeland,Biography|Drama|Sport,95001343,40000000,7.5
Bill Murray,Kathleen Turner,Rob Riggle,Bobby Farrelly,Comedy,86208010,35000000,5.7
Paul Walker,Bruce Greenwood,Wendy Crewson,Frank Marshall,Adventure|Drama|Family,81593527,40000000,7.3
Robert De Niro,Anne Hathaway,Rene Russo,Nancy Meyers,Comedy|Drama,75274748,35000000,7.2
Olivia Munn,Nadine Velazquez,Bruce McGill,Tim Story,Action|Comedy,90835030,40000000,5.9
Bokeem Woodbine,Curtis Armstrong,Harry Lennix,Taylor Hackford,Biography|Drama|Music,75305995,40000000,7.7
Rosario Dawson,Powers Boothe,Jason Douglas,Frank Miller,Crime|Thriller,74098862,40000000,8.1
Dennis Quaid,Edgar Ramírez,William Hurt,Pete Travis,Crime|Drama|Mystery|Thriller,72266306,40000000,6.6
J.K. Simmons,Jon Favreau,Jane Curtin,John Hamburg,Comedy|Romance,71347010,40000000,7.1
Jason Alexander,Bruce McGill,Susan Ward,Bobby Farrelly,Comedy|Drama|Fantasy|Romance,70836296,40000000,5.9
Chloë Grace Moretz,Nia Long,Marisol Nichols,John Whitesell,Comedy|Crime,70163652,40000000,4.6
J.K. Simmons,Brad Pitt,Julia Roberts,Gore Verbinski,Adventure|Comedy|Crime|Romance,66808615,34000000,6.1
Finn Wittrock,Jack O'Connell,Alex Russell,Angelina Jolie Pitt,Biography|Drama|Sport|War,115603980,65000000,7.2
Matthew Perry,Hunter Parrish,Thomas Lennon,Burr Steers,Comedy|Drama|Family|Fantasy|Romance,64149837,20000000,6.4
Don Johnson,Kate Upton,David Thornton,Nick Cassavetes,Comedy|Romance,83906114,40000000,6.0
Krista Allen,Andrew Fiscella,Shantel VanSanten,David R. Ellis,Horror,66466372,40000000,5.2
Tom Hanks,Mark Rylance,Amy Ryan,Steven Spielberg,Drama|History|Thriller,72306065,40000000,7.6
Joaquim de Almeida,David Keith,Sam Jaeger,John Moore,Action|Drama|Thriller|War,59068786,40000000,6.4
Pink,Mario Lopez,Lino Facioli,Nicholas Stoller,Comedy|Music,60923325,,6.4
Lisa Ann Walter,Nick Cannon,Omar Benson Miller,Peter Chelsom,Comedy|Drama|Romance,57887882,50000000,6.1
Henry Cavill,James Frain,Michael Wincott,Kevin Reynolds,Action|Adventure|Drama|Romance|Thriller,54228104,35000000,7.7
Matthew McConaughey,Margarita Levieva,Frances Fisher,Brad Furman,Crime|Drama|Thriller,57981889,40000000,7.3
Liam Neeson,Frank Langella,Aidan Quinn,Jaume Collet-Serra,Action|Mystery|Thriller,61094903,30000000,6.9
Christian Bale,Hugh Jackman,Scarlett Johansson,Christopher Nolan,Drama|Mystery|Sci-Fi|Thriller,53082743,40000000,8.5
Kevin Spacey,Christoph Waltz,Lindsay Sloane,Sean Anders,Comedy|Crime,54414716,42000000,6.3
Brendan Fraser,Paul Scheer,Jonathan Morgan Heit,Cal Brunker,Adventure|Animation|Comedy|Family|Sci-Fi,57011847,40000000,5.9
